NombreProducto,Categoria,Precio,Stock
Laptop HP Pavilion,Tecnologia,650.00,25
Mouse Inalambrico Logitech,Tecnologia,15.50,100
Teclado Mecanico RGB,Tecnologia,45.99,60
Monitor Samsung 24 pulgadas,Tecnologia,180.00,30
Silla Ergonomica Oficina,Mobiliario,220.00,15
Escritorio de Madera,Mobiliario,150.00,10
Impresora Epson L3250,Tecnologia,190.00,20
Camara Web Full HD,Tecnologia,35.00,40
Auriculares Bluetooth,Tecnologia,28.75,80
Lampara de Escritorio LED,Mobiliario,22.00,50
Disco Duro Externo 1TB,Tecnologia,-55.00,0
,Tecnologia,40.00,25
Mesa de Conferencia,Mobiliario,300.00,abc
Cargador USB-C,,18.00,70
Router WiFi 6,Tecnologia,75.00,-10
Pizarra Blanca,Mobiliario,60.00,12
Mouse Inalambrico Logitech,Tecnologia,16.00,90
